वाह!	Wow!
साथ ही जहाँ पुरानी टूरिस्ट साइट्स वगैरह भी मौजूद हैं ।	Along with where old tourists sites etc are also present .
इसके अलावा , ट्रडिशनल कुजीन सर्व करने पर भी ध्यान दिया जाता है ।	Apart from this , care is taken on serving traditional cuisine as well .
दरअसल , ऐसे टूर का मकसद पर्यटकों को उस जगह के रहन - सहन के तरीके व परंपराओं से रूबरू करवाना होता है ।	Actually , the motive of such tours is to bring tourists face to face with the life style , ways and traditions of that place .
हालाँकि सोचने में यह थोड़ा मुश्‍किल लगता है , लेकिन ऐसे टूर वाकई दिलचस्प होते हैं और एक अलग तरह का अनुभव देते हैं ।	I Although it looks a little difficult on thinking but such tours are actually interesting and provide with a very different kind of experience .
बस टूर का अपना ही मजा है ।	There is a different joy of a bus tour .
इससे बहुत सारे लोगों के साथ होने के बावजूद आप अकेले घूमने का मजा ले सकते हैं ।	With it you can enjoy of roaming alone despite being with so many people .
यही नहीं , इस सफर में आप अपनी फेवरिट बुक को बिना डिस्टर्ब हुए बहुत सारा समय दे सकते हैं ।	Not only this , in this journey you can give a lot of time without disturbing your favorite book .
हाँ , इतना जरूर है कि कम खर्च और सुकून भर ढेर सारा वक्‍त देने के साथ ही ये टूर आपसे सब्र की डिमांड जरूर रखते हैं ।	Yes , this much is there that along with giving less expense and plenty of time filled with comfort these tour demand patience out of you for sure .
यही वजह है कि इन्हें एंजॉय करने के लिए कुछ बातों का ध्यान रखना जरूरी है , खासतौर पर तब , जब आप कोई विदेशी डेस्टिनेशन बस टूर के जरिए देख रहे हों ।	This is the reason that to enjoy them there are some points to be taken care of , specially then , when you are seeing some foreign destination through a bus tour .
टिकट लेने से पहले बेस्ट डील तलाश लें ।	Before buying a ticket search for the best deal .
स्टूडेंट्स , मिलिट्री के सीनियर लोग , बच्चों वगैरह को इन पर डिस्काउंट मिलता है , तो दो लोगों के लिए भी छूट का अरेंजमेंट रहता है ।	Students , senior people of ministry , kids etc get a discount on it , then arrangement of discount for two people is also there .
वैसे , एडवांस में टिकट खरीदना सस्ता पड़ता है , इसलिए आखिरी पलों में बस टूर प्लान करने से बढ़िया है कि प्लानिंग थोड़ा पहले करें ।	Buying a ticket in advance is cheaper , this is why it is better to plan a little early than planning a bus tour in last moments .
टू वे टिकट की बजाय राउंड ट्रिप के बारे में पता करें ।	Instead of two way trip enquire about round trip .
ये सस्ती पड़ती हैं ।	They are inexpensive .
बैगेज को लेकर नियम खासे कड़े होते हैं , इसलिए सामान के साइज व वजन के बारे में पूछताछ कर लें ।	Rules are strict regarding baggage , this is why enquire about the size and weight of luggage .
कहीं ऐसा न हो कि आपको अपना कुछ सामान टर्मिनल पर छोड़ना पड़े या फिर एक्स्ट्रा फीस भरनी पड़े ।	It might not happen that some luggage has to be left at the terminal or extra fee has to be paid .
साथ ही टूर कंपनी से इंश्योरेंस या नुकसान की भरपाई के नियम भी जान लें ।	Also also learn about the rules of insurance or loss coverage from the tour company .
कैरी ऑन बैग्स सही रहते हैं , लेकर चलें ।	Carry on bags are good , take them .
क्योंकि ये सीट के ऊपर रैक में फिट आ जाते हैं ।	Because they fit in racks above the seat .
इस बात का भी ध्यान रखें कि टूर के दौरान बस चेंज करते समय सामान की जिम्मेदारी आपकी अपनी होगी ।	Also take care of the point that during the tour while changing the bus responsibility of luggage will be your own .
जहाँ से आपको बस लेनी है , वहाँ समय से एक घंटा पहले पहुँच जाएँ ।	whre you have to take bus from , reach there an hour before time .
बिजी सीजन के दौरान तो आप इस बात का खास ख्याल रखें ।	During busy season take special care of this point .
दरअसल , जितना जल्दी आप पहुँचेंगे , उतनी अच्छी सीट ऑप्शन आपके पास होगी ।	Actually , the early you reach , the better seat options you will have .
सीट चुनते समय कंफर्ट का ध्यान रखें ।	Mind comfort while chosing a seat .
पिछली सीट पर झटके ज्यादा लगेंगे , तो आगे की सीटों पर पढ़ना कंफर्टेबल नहीं रहता ।	You will experience more bumps at the back seat , and reading at front seat is not comfortable .
अगर आपको बार-बार लू जाना पड़ता है , तो कोने वाली सीट लें और अगर ज्यादा डिस्टर्ब होना पसंद नहीं करते , तो खिड़की वाली सीट आपके लिए बेहतर रहेगी ।	If you have to go to toilet frequently then take the corner seat and if you do not like to get much distrubed then window seat will be better for you .
अब एक चालाकी की बात ।	Now a point of craftiness .
अगर आप दोनों हथियाने की फिराक में हैं , तो पहले ही कोने वाली सीट पर बैठ जाएँ और दूसरी पर अपना बैग रख दें ।	If you are looking for capturing both , then sit on the corner sit early and keep your bag on the second one .
अगर बस में भीड़ ज्यादा नहीं हुई , तो प्लानिंग सफल रहेगी ।	If there is not much crowd in the bus then the planning will be successful .
अगर बस में वॉशरूम की सुविधा है , तो सीट चूज करते समय इस बात का भी ध्यान रखें , क्योंकि थोड़ी देर बाद वहाँ बैठना मुश्‍किल हो जाता है ।	If there is facility of washroom in the bus then do take care of this while chosing the seat because after a while it becomes difficult to sit there .
बस ड्राइवर व कंडक्टर से पहचान बना लें ।	Establish a familiarity with the bus driver and conductor .
इस तरह आपको काफी जरूरी जानकारी उनसे मिल जाएगी ।	In this way you will get much important information from them .
बस की सफाई के दौरान सभी को बाहर जाने के लिए कहा जाता है ।	During the cleaning of bus everyone is asked to go out of the bus .
इस दौरान अपना सामान सीट पर न छोड़ें , क्योंकि उसके गुम होने पर बस वाले इसकी जिम्मेदारी नहीं लेते हैं ।	During this time do not leave your stuff on the seat , because bus officials do not take its responsibility on its loss .
जहाँ भी बस रूके , वापस समय पर आ जाएँ ।	Wherever the bus stops , come back in time .
अगर आप समय पर नहीं आए , तो आपकी जगह किसी नए यात्री को मिल सकती है और आपको टर्मिनल पर दूसरी बस का इंतजार करना होगा ।	If you do not come in time thenn your place can be given to new passanger and you will have to wait for another bus at the terminal .
कहते हैं कि यूरोप में अगर रोम नहीं देखा , तो कुछ नहीं देखा ।	It is said that in Europe if you have not seen Rome then you have seen nothing .
इटली की राजधानी रोम , प्राचीन यूरोप का एक गौरवशाली शहर है और अपनी तमाम चीजों के लिए मशहूर है ।	Italy 's capital Rome , is a dignified city of ancient Europe and is famous for all its things .
इटली की राजधानी रोम दुनिया के उन पुराने शहरों में से है , जहाँ से सभ्यताओं का विकास हुआ है ।	Rome , capital of Italy , is among those ancient cities of world from where development of civilizations took place .
यही वजह है कि इसकी छाप वेस्टर्न सिविलाइजेशन पर नजर आती है ।	This is the reason that its print is visible on western civilization .
ताइबर नदी पर बसा रोम , रोमन कैथलिक धर्म के अनुयायियों के लिए तीर्थ स्थान है , क्योंकि इस धर्म के प्रमुख ’ पोप ’ का निवास स्थल रोम में ही है ।	Rome settled on Tiber river is a pilgrimage for the followers of Roman Catholic religion because the residence of the head ` Pope ' of this religion is here only .
प्राचीन रोम सात पहाड़ियों पर बसा हुआ था ।	Ancient Rome is settled on seven hills .
चौथी शताब्दी में इसके चारों ओर एक दीवार , सरवियल वॉल बनाई गई ।	In the fourteenth century a wall , Cervial wall was made all around it .
इसके अवशेष आज भी रोम के आस-पास देखे जा सकते हैं ।	Its 's ruins can be seen around it even today .
प्राचीन इमारतों और उनके अवशेषों के लिए रोम दुनिया भर में मशहूर है ।	Rome is famous worldwide for ancient monuments and their ruins .
आलीशान राजमहल , भव्य चर्च , खूबसूरत फव्वारे , गुंबज व म्यूजिम्स वाला यह शहर आपको पहली नजर में ही सम्मोहित करने का जादू रखता है ।	This city of luxurious palace , grand church , beautiful fountain , dome and museums posess the magic of hypnotising us in first glance .
इटली के शासक , विक्‍टर इमेनुएल द्वितीय को समर्पित सफेद संगमरमर की यह विशाल और बेमिसाल इमारत 1885 में बनना शुरू हुई थी और इसका 1911 में पूरा हुआ ।	Devoted to ruler of Italy , Victor Emanual II , this huge and unparalalled monument of white marbel began to be constructed in 1885 and its work completed in 1911 .
इसके सामने सम्राट इमेनुएल की घोड़े पर सवार एक मूर्ति बनी है , जिसे बनाने में 20 साल लगे ।	IN front of it is a statue built of emperor Emanuel riding on horse , which took 20 years to be constructed .
यहाँ प्रथम विश्‍व युद्ध में शहीद हुए अज्ञात सैनिकों को दफनाया गया था ।	Here unknown soldiers martyered in World War I were burried .
इस स्मारक की नक्काशी और इस पर बने विजय चिन्ह दर्शनीय हैं ।	The carving of this memorial and victory signs made on it are worth seeing .
यहीं एक संग्रहालय भी है ।	There is one museum as well here only .
अगर आप कलाकृतियों में दिलचस्पी रखते हैं , तो उसे जरूर देखें ।	If you keep an interest in artefacts then do look at it .
स्मारक के साथ ही सिर्फ रोम का ही नहीं बल्कि इटली का महशूर और शानदार चौक ’ पिएजा वेनेजिया ’ है ।	Beside the memorial not only of Rome but of enitre Italy 's famous and magnificent chowk ' Piazza Venezia ' is there .
रोम के बीचोंबीच बना यह चौक दिल्ली के विजय चौक जैसा ही प्रसिद्ध है ।	Built this chowk right in the middle of Rome is as famous as the Vijay Chowk of Delhi .
इसके अलावा , ’ पियात्सा डी स्पाग्ना ’ भी पर्यटकों में खूब लोकप्रिय है और जहाँ लोग शाम को एक - दूसरे से मिलने आते हैं ।	Apart from this ' Piazza di Spagna ' is also popular among tourists and where people come to meet each other during evenings .
’ पिएजा वेनेजिया ’ का लुत्फ़ उठाने के बाद आप रोम की मशहूर सड़क यानी ’ विया डेल कोर्सो ’ भी जरूर जाएँ ।	After enjoying ' Piazza Venezia ' also go to the famous road of Rome ' Via del Corso ' .
यहाँ बनीं बड़ी-बड़ी दुकानें , चर्च और पैलेस इस सड़क की भव्यता में चार चाँद लगाते हैं ।	Huge shops made here , church and palace enhance the grandeur of this place .
गौरतलब है कि यह सड़क रोम का मुख्य मार्ग है ।	It is worth noting that this road is the main way of Rome .
यह अद्वितीय इमारत ’ कैपिटोलाइन हिल ’ पर बनी है और काफी ऊँचाई पर स्थित है ।	This wobderful monument is made on ' Capitoline hill ' and is situated on much height .
इस पर चढ़ने की सीढ़ियों को मशहूर मूर्तिकार माइकल एंजलो ने 1536 में बनाया था ।	Famous sculptor Michelangelo made the stairs used to climb on it in 1536 .
कैपिटोलाइन के सामने घोड़े पर सवार सम्राट मार्कस ओरेलिअस की पीतल की मूर्ति है , जिन्होंने 160 - 180 ई. तक रोम पर शासन किया था ।	In front of Capitoline is the brass statue of emperor Marcus Oraleous riding a horse who ruled on Rome till 160 - 180 A . .
यह भव्य मूर्ति आपको आश्‍चर्यचकित कर देगी ।	This grand statue will surprise you .
इसके अलावा कैपिटोलाइन पर बना टॉवर भी इस इमारत की अलग पहचान है ।	Apart from this the tower made on Capitoline is also a different identity of this monument .
’ कैपिटोलाइन कॉम्प्लेक्स ’ में एक चर्च , म्यूजियम और पुराना मंदिर भी बना हुआ है ।	In Capitoline complex a church , museum and old temple are also built .
रोम का प्रतीक है कॉलोसियम ।	The symbol of Rome is Colloseum .
इस विशाल अखाड़े का निर्माण 80 ईस्वी में हुआ था और यहाँ 50 हजार दर्शक एक साथ बैठ सकते थे ।	The construction of this huge arena was done in 80 B . . and more than 50 thousand audience could sit here together .
कॉलोसियम में ग्लैडिएटर यानी तलवारबाज अपने करतब दिखाते थे ।	IN the coloseum Galdiaters which mean fencers , used to display their performance .
ये आपस में ही नहीं , बल्कि जंगली जानवरों से भी मुकाबला करते थे ।	They not only among themselves , in fact used to compete with wild animals as well .
दिल दहला लेने वाली ये लड़ाइयाँ , चाहें दूसरे तलवारियों से हो या जानवरों से , तब तक जारी रहती थीं , जब तक कि लड़नेवाले में से एक की मौत न हो जाए ।	These heart rendering fights , be with other fencers or with animals would continue till one of the fighters die .
प्राचीन रोम में बहुत सारे ’ फोरम ’ हुआ करते थे ।	Theere used to be many forum in ancient Rome .
बताते चलें कि मिलने - जुलने की जगहों को रोम में फोरम कहा जाता है ।	Lets move while telling that meeting places in Rome were called as Forum .
यहीं शहर की तमाम समाजिक , धार्मिक , आर्थिक , राजनैतिक वगैरह गतिविधियाँ हुआ करती थीं ।	All the social , religious , economic , political etc activities of the city used to happen here only .
इनमें सबसे ज्यादा मशहूर फोरम रोमैनम था और इस जगह पर आज भी राजभवन , मंदिरों और स्तंभों के अवशेष मौजूद हैं ।	the most famous among them was Forum romanum and at this place ruins of palaces , temples and pillars are present even today .
बेशक इन्हें देखकर प्राचीन रोम की भव्यता का अंदाजा बखूबी हो जाता है ।	No doubt on looking at them an estimate of it 's beauty takes place completely .
पैथियॉन :- यह अद्‍भुत प्राचीन मंदिर 27 ईसा पूर्व में बना था ।	Pantheon : This wondoreous ancient temple was made in 27 B . .
इसके विशाल गुंबज के मध्य में 30 फुट का खुला स्थान है ।	In the middle of this huge dome there is a wide place of 30 feet .
इस जगह की वजह से भक्‍तों को ऐसा महसूस होता था , मानों उनकी प्रार्थनाएँ सीधे देवताओं तक पहुँच रही हैं ।	Due to this place devotees used to feel like as if their prayerrs are directly reching till Gods .
मंदिर के अंदर चारों ओर देवी - देवताओं की मूर्तियाँ बनी हुई हैं ।	Inside the temple on all sides idols of Gods and Godesses are made .
वैसे , 601 ईस्वी में इस मंदिर को चर्च बना दिया गया था ।	Although in 601 AD this temple was made a church .
वैसे तो रोम में बहुत सारे बाग-बगीचे हैं , लेकिन विला बोर्गीस बेमिसाल है ।	Although tehre are many gardens in Rome , but Villa Borges is unparalleled .
इसलिए रोम जाने पर इसे देखना नहीं भूलें ।	This is why do not forget to look at it on going to Rome .
यहाँ बने म्यूजियम में भी जरूर जाएँ , क्योंकि इसे मिस करने पर आप बेहतरीन मूर्तिकला से रूबरू होने का मौका गवाँ देंगे ।	Also go to the museum built here , because on missing it you will lose the oppurtunity of coming face to face with the best sculptor art .
यहाँ निर्मित मूर्तियाँ अद्वितीय हैं और इतनी सजीव लगती हैं कि मानो अभी बोल पड़ेंगी ।	The idols built here are unique and look so lively that looks like as if will ebgint o speak now .
यहाँ नैपोलियन प्रथम की बहन पॉलिन , जिनका विवाह बोर्गीस राजपरिवार में हुआ था , की पलंग पर लेटी हुई एक मूर्ति इतनी सजीव लगती है कि आप कुछ पल इसे एकटक देखे बिना रह नहीं पाएँगे ।	Here the reclining statue on a bed of Paulin , sister of Napolean I who was married in the Borgis royal family , looks so real that for some moments you will not be able to not see her for some moments continously .
रोम के खास आकर्षण इसके फाउंटेंस हैं ।	Themain attractions of Rome are it 's fountains .
यहाँ लगभग 300 इमारतें ऐसी हैं , जिनमें शानदार फव्वारे बने हुए हैं ।	Here almost 300 buildings are such in which magnificent fountains are built .
यहाँ का सबसे प्रसिद्ध फव्वारा है ’ त्रेवी फांउंटेन ’ ।	The most famous fountain here is ' Treva fountain ' .
ऐसी मान्यता है कि अगर रोम में कोई दोबारा आना चाहे , तो उसे इस मनोकामना के साथ एक सिक्का फव्वारे में डालना चाहिए ।	It is a belief that if someone want to come to Rome again then should throw a coin with this wish in the fountain .
माना जाता है कि ऐसा करने से यह ख्वाहिश जरूर पूरी होती है ।	It is believed that by doing so . this desire gets fulfilled for sure .
इस प्राचीन नगरी की यात्रा तब तक पूरी नहीं होगी , जब तक कि आप ’ वैटिकन सिटी ’ न देख लें ।	The journey of this ancient will not be complete till then , till when you do not see ' Vatican city ' .
छठी शताब्दी से यह स्थल रोमन कैथोलिक धर्म के अनुयायियों के सर्वोच्च धार्मिक प्रमुख ’ पोप ’ का निवास स्थान रहा है ।	Since sixth century this place has been the residential place of the supreme religious leader ' Pope ' of the followers of catholic religion .
हालाँकि यह रोम ही में है , लेकिन 1926 से इसे एक स्वतंत्र शहर का दर्जा दे दिया गया था ।	Although it is in Rome itself , but from 1926 onwards it has been given the status of an independent state .
वैटिकन सिटी का मशहूर सेंट पीटर चर्च , सेंट पीटर स्क्वेयर , फव्वारे , संग्रहालय वगैरह जरूर देखें ।	Do see the famous St . Peter church , Saint Peter Square , fountain , museums etc of Vatican city .
बेशक ये आपको एक अलग ही दुनिया का नजारा दिखाएँगे और आपको हमेशा याद रखने वाला अनुभव देंगे ।	No doubt they will show you a scene of a very different world and will give you an experience worth remembring always .
पश्‍चिमी तट से लगे हुए गुजरात से गोवा तक की यात्रा में पुणे की पेशवाकालीन भव्यता , अहमदाबाद के साबरमती आश्रम और गोवा के मुक्‍ति आंदोलन के सुनहरे ऐतिहासिक साक्ष्यों का अनूठा दर्शन मिलता है ।	In the journey from Gujarat abutting to the western coast to Goa a marvellous visit to golden historical witnesses of the granduer of Peshwa period of Pune , sabarmati ashram of Ahmadabad and mukti andolan of Goa is found .
गुजरात बहुरंगी संस्कृति व समृद्ध विरासत की भूमि है ।	Gujarat is the land of multicoloured culture and a rich heritage .
इस राज्य की आर्थिक राजधानी अहमदाबाद से ही भारत के अहिंसा आंदोलन का शुभारंभ हुआ था जब महात्मा गांधी ने यहाँ के साबरमती आश्रम से दांडी यात्रा शुरू की थी ।	From the economic capital Ahmadabad of this state itself the beginning of the non violence movement of India began when Mahatma Gandhi began the Journey of Dandi from Sabarmati Ashram here .
आज अहमदाबाद महत्त्वपूर्ण औद्योगिक व शिक्षण केंद्र है ।	Today Ahmadabad is an important industrial and education center .
लोकप्रिय गुजराती संस्कार , शापिंग विकल्पों की भरमार और मकर संक्रांति व नवरात्रि के रंगीन उत्सवों की चमक-दमक ने इसे पर्यटकों का मनपसंद स्थल बना दिया है ।	Popular gujarati cultural values , abundance of shopping options and the shine of colorful events of Makar Sakranti and Navaratri has made this a favorite place of tourists .
लोकप्रिय हिमालय मॉल के पीछे स्थित और वाजिब कीमत पर अत्याधुनिक सुविधाओं व बहुरंगी माहौल से युक्‍त वातानुकूलित कमरों वाला जिंजर होटल आपकी इस यात्रा को यादगार बना देता है ।	Situated behind popular Himalaya Mall and equipped with colorful ambience and ultra modern facilities this Ginger hotel of air conditioned romms will make this journey of yours memorable .
आप अहमदाबाद में साबरमती आश्रम , साइंस सिटी , अक्षरधाम मंदिर और प्रसिद्ध वैष्णों देवी मंदिर की प्रतिकृति जैसे दर्शनीय स्थलों का भी भ्रमण कर सकते हैं ।	In Ahmadabad you can tour tourist spots like Sabarmati Ashram , Science city , Akshardham temple and the replica of famous Vaishno devi temple .
एक्सप्रेस हाइवे की अनूठी ड्राइव के बाद आप वडोदरा पहुँच सकते हैं जिसे बड़ौदा भी कहा जाता है जो समृद्ध परंपरा से युक्‍त एक कास्मोपोलिटन शहर है ।	You can reach Vadodra after a marvellous drive of expressway highway which is also called as Baroda which is a cosmopolitan city equipped with a rich tradition .
यहाँ फतेहगंज कैंप रोड पर स्थित जिंजर होटल के रेस्टोरेंट बफे जंक्शन में स्वादिष्‍ट ब्रेकफास्ट का भरपूर लुत्फ़ लिया जा सकता है ।	Here in the restaurant Buffet Junction of Ginger hotel situated on Fatehganj camp road the joy of a filling breakfast can be taken .
यह होटल तमाम सुविधाओं से लैस है ।	This hotel is laced with all the facilities .
वडोदरा में व्यापार व कला का अनूठा संगम दिखाई देता है ।	In Vadodra a unique confluence of business and art is seen .
यह शहर अपने पार्क , मंदिरों , म्यूजियमों और ख्याति प्राप्‍त महाराजा सयाजी राव विश्‍वविद्यालय के लिए मशहूर है ।	This city is famous for its parks , temples , museums and famous Maharaja Sayaji Rao University .
डायमंड कैपिटल ऑफ वर्ल्ड कहलाने वाला सूरत जवाहरातों और स्थानीय पारंपरिक वस्तुओं का महत्त्वपूर्ण केंद्र है ।	Surat called as the diamond capital of world is an important center of jewels and local traditional objects .
यहाँ भी जिंजर होटल खुल चुका है ।	Ginger hotel has opened here as well .
जहाँ गुजरात अपनी बहुरंगी संस्कृति के लिए जाना जाता है वहीं महाराष्‍ट्र विभिन्न पहाड़ियों , सुंदर समुद्र-तटों , घने जंगलों , ऐतिहासिक किलों और प्राचीन धार्मिक स्थलों की विविधता से ओत-प्रोत है ।	Where Gujarat is known for it 's multicolor culture there Maharashtra is filled with the diversity of various mountains , beautiful beaches , thick forests , historic forts and ancient religious places .
गोदावरी नदी किनारे स्थित नासिक महाराष्‍ट्र का महत्त्वपूर्ण पर्यटन व धार्मिक स्थल है ।	Nasik situated on the bank of Godavari river is an important tourist and religious place of Maharashtra .
यहाँ राम , सीता और लक्ष्मण ने अपने वनवास के काफी वर्ष व्यतीत किए थे ।	Here Ram , Sita and Lakshman had spent many years of their exile .
पंचवटी , सीता गुफा और रामकुंड जैसे रामायणकालीन स्थल यहाँ स्थित हैं ।	Places of Ramayan period like Panchvati , Sita cave and Ramkund are situated here .
नासिक शिरडी साईं बाबा स्थल का मुख्य पड़ाव भी है ।	Nasik is also a major destination of Shirdi Sai Baba place .
नासिक स्थित जिंजर होटल से प्रसिद्ध त्रयंबकेश्‍वर मंदिर , विपश्यना सेंटर और नंदुर माधमहेश्‍वर पक्षी अभ्यारण्य जैसे स्थल अच्छी तरह से जुड़े हैं ।	From the famous Ginger hotel of Nasik places like Trimbkeshwar temple , Vipashyana center and Nandur Madhmeshwar bird sanctuary are connected well .
उधर कभी पेशवा शासकों के महल रहे शनिवार वडा और भगवान रजनीश के प्रसिद्ध ओशो आश्रम को देखे बिना आपकी पुणे यात्रा अधूरी है ।	without seeing Shaniwar Vadaa and famous Osho ashram of God Rajneesh which stayed as palaces of Peshwa rulers , your journey is incomplete .
पुणे में जिंजर के दो होटल हैं जो पिम्परी और वकाड में स्थित हैं ।	There are two hotels of Ginger in Pune which are situated in Pimpri and Wakad .
पिम्परी औद्योगिक क्षेत्र के मध्य और पुणे - बंगलूरू हाइवे पर स्थित वकाड नामक स्थान में बने जिंजर के दोनों होटल सभी अत्याधुनिक सुविधाओं से युक्‍त हैं ।	Both the hotels of Ginger built in the middle of Pimpri industrial area and in a place named Vakaad situated on Pune - Bengaluru highway .
महाराष्‍ट्र का पड़ोसी राज्य गोवा अपने सुंदर समुद्र-तटों और विविध जल - क्रीड़ाओं से युक्‍त है जो पर्यटकों के लिए किसी स्वर्ग सरीखा है जहाँ प्राचीन गिरजाघरों की सैर से प्राचीन युग की भव्यता का सहज ही दर्शन मिलता है ।	Goa , the neighbor state of Maharashtra is equipped with it 's beautiful sea shores and various sea sports which is like some heaven to tourists where with the visit to ancient churches a look to the grandeur of ancient era is found easily .
गोवा की राजधानी पंजिम में स्थित जिंजर होटल पश्‍चिमी तट की इस यात्रा को उत्कृष्‍ट बनाता है ।	Ginger hotel situated in Panjim , capital of Goa makes this journey of western coast excellent .
गोवा की सड़कों पर साइक्लिंग , रीवर क्रूज , ठंडी समुद्री हवाओं और विश्‍वप्रसिद्ध गोवन व्यंजनों का भरपूर आनंद उठाते हुए आरामदायक दिन गुजारने के लिए यहाँ स्थित जिंजर होटल उत्कृष्‍ट विकल्प है ।	Whileenjoying cycling , river cruise , cool oceanic winds and world famous Goan cuisine fully to spend a comfortable day Ginger hotel situated here is the best option .
आज की तारीख में देखें तो मालदीव के लिए दिल्ली से सबसे सस्ता प्रति व्यक्‍ति वापसी किराया 28 हजार रुपये का है ।	If seen in today 's date then for Maldive from Delhi the most inexpensive return fare is of 28 thousand rupees per person .
उसके बाद यदि आप माले में रुकें तो फिर भी कुछ कम किराये में होटल मिल सकते हैं लेकिन मालदीव की असली खूबसूरती का मजा लेने आस-पास के किसी द्वीप पर जाएँ तो जेब छोटी पड़ जाएगी ।	After that if you halt at Malè even then hotels can be found at less rent but to enjoy the beauty of Maldives if you go to any island around then the pocket willprove small .
सी क्रूज यहीं फायदेमंद साबित होते हैं ।	Sea cruise are proved profitable here only .
दिसंबर के पहले हफ्ते में कोच्चि से लुई क्रूज ने मालदीव और कोलंबो के लिए भारत का इकलौता सी क्रूज शुरू किया ।	In the first week of December Louis cruise has begun the only see cruise of India from Cochhi for Maldive and Colombo .
लुई क्रूज यूरोपीय कंपनी है और क्रूज व होटल व्यवसाय में काफी नामी - गिरामी है ।	Louis cruise is an European company and is very famous in cruise and hotel industry .
हालाँकि कुछ दिक्कतों के कारण लुई क्रूज ने अभी अपनी सेवाएँ स्थगित कर दी हैं , लेकिन अक्टूबर से उनके फिर शुरू होने की उम्मीद है ।	Although due to some problems Lui cruise has postponed its services now but there is hope of them resuming October onwards .
लुई क्रूज के जहाज एमवी एक्वामैरिन पर आप कम से कम 5850 रुपये प्रति व्यक्‍ति प्रति रात्रि की दर पर तीन दिन के क्रूज के लिए मालदीव की सैर को जा सकते हैं ।	On the plane MV Aquamarine of Louis cruise you can go on three day cruise for the tour of Maldive at rate of minimum Rs . 5850 per person per night .
यानी तीन दिन के लिए एक व्यक्‍ति का किराया 18 हजार रुपये से भी कम ।	Which means three day fair for one person is even less than Rs . 18 thousand .
और अगर दो बड़े हों तो 15 साल से कम उम्र के बच्चे बिलकुल फ्री ।	If two elders are there then children less then 15 years of age absolutely free .
और क्या चाहिए ।	What else is needed .
क्रूज के किराये में चाय - नाश्ता , खाना सब शामिल है ।	In the fare of cruise tea - snacks , meals everything is included .
हर वक्‍त का मनोरंजन साथ में ।	Entertainment is along everytime .
राजधानी माले पहुँचकर आप अपनी जेब के हिसाब से मालदीव में उपलब्ध मनोरंजनों , गतिविधियों का मजा ले सकते हैं - सी प्लेन राइड से लेकर अंडरवाटर लंच तक ।	On reaching capital Malè according to your pocket you can enjoy available entertainments , activities - from sea plane ride to underwater lunch .
बड़े-बड़े हवाईजहाजों में घूमते हुए अचानक आपके सामने एक सी प्लेन खड़ा हो जाए तो आपको खिलौने सा लगेगा ।	While roaming in huge airplanes if suddenly one Sea plane stands in front of you then it will look like a toy plane to you .
	
ताजा साँसें और चमचमाते दाँत आपके व्यक्तित्व को निखारते हैं ।	Fresh breath and shining teeth enhance your personality .
दाँतों से आपका आत्मविश्‍वास भी बढ़ता है ।	Your self-confidence also increases with teeth .
हमारे मसूढ़ों और दाँतों के बीच बैक्टीरिया मौजूद होते हैं ।	Bacteria stay between our gums and teeth .
ये दाँतों को गंदा और साँसों को बदबूदार बना देते हैं ।	They make teeth dirty and breath stinky .
यहाँ दिए कुछ आसान नुस्खों की मदद से आप अपने दाँतों को स्वच्छ और साँसों को ताजा रख सकते हैं ।	You may keep your teeth clean and breath fresh by the help of some easy tips given here .
दाँतों को ठीक से साफ करें ।	Clean your teeth properly .
दाँतों को ठीक से साफ करने में दो से तीन मिनट का समय लगता है ।	It takes two to three minutes to clean your teeth properly .
लेकिन ज्यादातर लोग इसके लिए एक मिनट से भी कम समय देते हैं ।	But most of the people give less than one minute for this .
खूब पानी पीएँ ।	Drink plenty of water .
मुँह सूखने पर बैक्टीरिया हमला तेज कर देते हैं ।	Bacteria attack fast if the mouth dries up .
इससे साँसों से बदबू आने लगती है ।	With this stink comes from breath .
खूब पानी पीने से न केवल खाने के बचे - खुचे टुकड़े साफ हो जाते हैं , बल्कि लार भी बनती है ।	By drinking plenty of water not only the left-over pieces of food gets cleaned but saliva also gets formed .
मुँह साफ रखने में लार की खास भूमिका होती है ।	Saliva has important role in keeping the mouth clean .
